"","Strategia 1","Strategia 2","p.value","Decyzja"
"1","removal_max_knn_BORUTA","removal_max_knn_MI",0.597277290212855,"Nie ma podstaw do odrzucenia H"
"2","removal_max_knn_BORUTA","removal_max_knn_none",0.249540349612547,"Nie ma podstaw do odrzucenia H"
"3","removal_max_knn_BORUTA","removal_max_median-frequency_BORUTA",0.386150442923581,"Nie ma podstaw do odrzucenia H"
"4","removal_max_knn_BORUTA","removal_max_median-frequency_MI",0.266935396238986,"Nie ma podstaw do odrzucenia H"
"5","removal_max_knn_BORUTA","removal_max_median-frequency_none",0.924487930186058,"Nie ma podstaw do odrzucenia H"
"6","removal_max_knn_BORUTA","removal_max_median-other_BORUTA",0.817964813442492,"Nie ma podstaw do odrzucenia H"
"7","removal_max_knn_BORUTA","removal_max_median-other_MCFS",0.860346667715422,"Nie ma podstaw do odrzucenia H"
"8","removal_max_knn_BORUTA","removal_max_median-other_MI",0.786579471313019,"Nie ma podstaw do odrzucenia H"
"9","removal_max_knn_BORUTA","removal_max_median-other_none",0.357253940010769,"Nie ma podstaw do odrzucenia H"
"10","removal_max_knn_BORUTA","removal_max_median-other_VI",0.489681858007147,"Nie ma podstaw do odrzucenia H"
"11","removal_max_knn_BORUTA","removal_max_mice_none",0.249428936328831,"Nie ma podstaw do odrzucenia H"
"12","removal_max_knn_BORUTA","removal_med_knn_BORUTA",1,"Nie ma podstaw do odrzucenia H"
"13","removal_max_knn_BORUTA","removal_med_knn_MI",0.776175802761705,"Nie ma podstaw do odrzucenia H"
"14","removal_max_knn_BORUTA","removal_med_knn_none",1,"Nie ma podstaw do odrzucenia H"
"15","removal_max_knn_BORUTA","removal_med_median-frequency_BORUTA",0.755476185942126,"Nie ma podstaw do odrzucenia H"
"16","removal_max_knn_BORUTA","removal_med_median-frequency_MI",0.849685598748649,"Nie ma podstaw do odrzucenia H"
"17","removal_max_knn_BORUTA","removal_med_median-frequency_none",0.77610409765505,"Nie ma podstaw do odrzucenia H"
"18","removal_max_knn_BORUTA","removal_med_median-other_MCFS",0.913735943746438,"Nie ma podstaw do odrzucenia H"
"19","removal_max_knn_BORUTA","removal_med_median-other_none",0.849517826491995,"Nie ma podstaw do odrzucenia H"
"20","removal_max_knn_BORUTA","removal_med_median-other_VI",0.694414185659539,"Nie ma podstaw do odrzucenia H"
"21","removal_max_knn_BORUTA","removal_med_mice_none",0.881620507108076,"Nie ma podstaw do odrzucenia H"
"22","removal_max_knn_BORUTA","removal_min_knn_BORUTA",0.342925626450521,"Nie ma podstaw do odrzucenia H"
"23","removal_max_knn_BORUTA","removal_min_knn_MI",0.448148008937853,"Nie ma podstaw do odrzucenia H"
"24","removal_max_knn_BORUTA","removal_min_knn_none",0.616344349847336,"Nie ma podstaw do odrzucenia H"
"25","removal_max_knn_BORUTA","removal_min_median-frequency_MI",0.323027408700883,"Nie ma podstaw do odrzucenia H"
"26","removal_max_knn_BORUTA","removal_min_median-frequency_none",0.817973218734819,"Nie ma podstaw do odrzucenia H"
"27","removal_max_knn_BORUTA","removal_min_median-other_BORUTA",0.350204573701326,"Nie ma podstaw do odrzucenia H"
"28","removal_max_knn_BORUTA","removal_min_median-other_MCFS",0.654891766331468,"Nie ma podstaw do odrzucenia H"
"29","removal_max_knn_BORUTA","removal_min_median-other_MI",0.489906401969984,"Nie ma podstaw do odrzucenia H"
"30","removal_max_knn_BORUTA","removal_min_median-other_none",0.489763544264615,"Nie ma podstaw do odrzucenia H"
"31","removal_max_knn_BORUTA","removal_min_median-other_VI",0.978394439816849,"Nie ma podstaw do odrzucenia H"
"32","removal_max_knn_BORUTA","removal_min_mice_BORUTA",0.924509156532458,"Nie ma podstaw do odrzucenia H"
"33","removal_max_knn_BORUTA","removal_min_mice_MI",1,"Nie ma podstaw do odrzucenia H"
"34","removal_max_knn_BORUTA","removal_min_mice_none",0.724827322775804,"Nie ma podstaw do odrzucenia H"
"35","removal_max_knn_MI","removal_max_knn_BORUTA",0.597277290212855,"Nie ma podstaw do odrzucenia H"
"36","removal_max_knn_MI","removal_max_knn_none",0.606931343176053,"Nie ma podstaw do odrzucenia H"
"37","removal_max_knn_MI","removal_max_median-frequency_BORUTA",0.113229603727706,"Nie ma podstaw do odrzucenia H"
"38","removal_max_knn_MI","removal_max_median-frequency_MI",0.110030649851316,"Nie ma podstaw do odrzucenia H"
"39","removal_max_knn_MI","removal_max_median-frequency_none",0.297245836471455,"Nie ma podstaw do odrzucenia H"
"40","removal_max_knn_MI","removal_max_median-other_BORUTA",0.569601187259397,"Nie ma podstaw do odrzucenia H"
"41","removal_max_knn_MI","removal_max_median-other_MCFS",0.336575049701986,"Nie ma podstaw do odrzucenia H"
"42","removal_max_knn_MI","removal_max_median-other_MI",0.350272499506402,"Nie ma podstaw do odrzucenia H"
"43","removal_max_knn_MI","removal_max_median-other_none",0.849636723145978,"Nie ma podstaw do odrzucenia H"
"44","removal_max_knn_MI","removal_max_median-other_VI",0.714634060823642,"Nie ma podstaw do odrzucenia H"
"45","removal_max_knn_MI","removal_max_mice_none",0.180065862031835,"Nie ma podstaw do odrzucenia H"
"46","removal_max_knn_MI","removal_med_knn_BORUTA",0.61626142550682,"Nie ma podstaw do odrzucenia H"
"47","removal_max_knn_MI","removal_med_knn_MI",0.37172882951184,"Nie ma podstaw do odrzucenia H"
"48","removal_max_knn_MI","removal_med_knn_none",0.464776616645988,"Nie ma podstaw do odrzucenia H"
"49","removal_max_knn_MI","removal_med_median-frequency_BORUTA",0.524422221662284,"Nie ma podstaw do odrzucenia H"
"50","removal_max_knn_MI","removal_med_median-frequency_MI",0.515951696358549,"Nie ma podstaw do odrzucenia H"
"51","removal_max_knn_MI","removal_med_median-frequency_none",0.329881905198023,"Nie ma podstaw do odrzucenia H"
"52","removal_max_knn_MI","removal_med_median-other_MCFS",0.569782487753172,"Nie ma podstaw do odrzucenia H"
"53","removal_max_knn_MI","removal_med_median-other_none",0.464524678230631,"Nie ma podstaw do odrzucenia H"
"54","removal_max_knn_MI","removal_med_median-other_VI",0.881620507108076,"Nie ma podstaw do odrzucenia H"
"55","removal_max_knn_MI","removal_med_mice_none",0.48996759040458,"Nie ma podstaw do odrzucenia H"
"56","removal_max_knn_MI","removal_min_knn_BORUTA",0.189170023940434,"Nie ma podstaw do odrzucenia H"
"57","removal_max_knn_MI","removal_min_knn_MI",0.89229832024153,"Nie ma podstaw do odrzucenia H"
"58","removal_max_knn_MI","removal_min_knn_none",0.913776313675459,"Nie ma podstaw do odrzucenia H"
"59","removal_max_knn_MI","removal_min_median-frequency_MI",0.107181410071748,"Nie ma podstaw do odrzucenia H"
"60","removal_max_knn_MI","removal_min_median-frequency_none",0.432450591033917,"Nie ma podstaw do odrzucenia H"
"61","removal_max_knn_MI","removal_min_median-other_BORUTA",0.645312741508129,"Nie ma podstaw do odrzucenia H"
"62","removal_max_knn_MI","removal_min_median-other_MCFS",0.870943124873364,"Nie ma podstaw do odrzucenia H"
"63","removal_max_knn_MI","removal_min_median-other_MI",0.244346293313656,"Nie ma podstaw do odrzucenia H"
"64","removal_max_knn_MI","removal_min_median-other_none",0.198349684784994,"Nie ma podstaw do odrzucenia H"
"65","removal_max_knn_MI","removal_min_median-other_VI",0.408893973437283,"Nie ma podstaw do odrzucenia H"
"66","removal_max_knn_MI","removal_min_mice_BORUTA",0.401278260330105,"Nie ma podstaw do odrzucenia H"
"67","removal_max_knn_MI","removal_min_mice_MI",0.507046688293391,"Nie ma podstaw do odrzucenia H"
"68","removal_max_knn_MI","removal_min_mice_none",0.316602473555986,"Nie ma podstaw do odrzucenia H"
"69","removal_max_knn_none","removal_max_knn_BORUTA",0.249540349612547,"Nie ma podstaw do odrzucenia H"
"70","removal_max_knn_none","removal_max_knn_MI",0.606931343176053,"Nie ma podstaw do odrzucenia H"
"71","removal_max_knn_none","removal_max_median-frequency_BORUTA",0.0042856803669609,"Odrzucamy H"
"72","removal_max_knn_none","removal_max_median-frequency_MI",0.00677818572623914,"Odrzucamy H"
"73","removal_max_knn_none","removal_max_median-frequency_none",0.0880832846377442,"Nie ma podstaw do odrzucenia H"
"74","removal_max_knn_none","removal_max_median-other_BORUTA",0.175787867000462,"Nie ma podstaw do odrzucenia H"
"75","removal_max_knn_none","removal_max_median-other_MCFS",0.10444179198365,"Nie ma podstaw do odrzucenia H"
"76","removal_max_knn_none","removal_max_median-other_MI",0.104409239846729,"Nie ma podstaw do odrzucenia H"
"77","removal_max_knn_none","removal_max_median-other_none",0.664908021689363,"Nie ma podstaw do odrzucenia H"
"78","removal_max_knn_none","removal_max_median-other_VI",0.839083250009229,"Nie ma podstaw do odrzucenia H"
"79","removal_max_knn_none","removal_max_mice_none",0.00679898841129323,"Odrzucamy H"
"80","removal_max_knn_none","removal_med_knn_BORUTA",0.203178301353014,"Nie ma podstaw do odrzucenia H"
"81","removal_max_knn_none","removal_med_knn_MI",0.0617818051039035,"Nie ma podstaw do odrzucenia H"
"82","removal_max_knn_none","removal_med_knn_none",0.159348867282488,"Nie ma podstaw do odrzucenia H"
"83","removal_max_knn_none","removal_med_median-frequency_BORUTA",0.193813625822287,"Nie ma podstaw do odrzucenia H"
"84","removal_max_knn_none","removal_med_median-frequency_MI",0.155162576078224,"Nie ma podstaw do odrzucenia H"
"85","removal_max_knn_none","removal_med_median-frequency_none",0.0451244129933424,"Odrzucamy H"
"86","removal_max_knn_none","removal_med_median-other_MCFS",0.0739809540332577,"Nie ma podstaw do odrzucenia H"
"87","removal_max_knn_none","removal_med_median-other_none",0.119403926402453,"Nie ma podstaw do odrzucenia H"
"88","removal_max_knn_none","removal_med_median-other_VI",0.244191105083265,"Nie ma podstaw do odrzucenia H"
"89","removal_max_knn_none","removal_med_mice_none",0.266800490261444,"Nie ma podstaw do odrzucenia H"
"90","removal_max_knn_none","removal_min_knn_BORUTA",0.0118174754654744,"Odrzucamy H"
"91","removal_max_knn_none","removal_min_knn_MI",0.432255927336066,"Nie ma podstaw do odrzucenia H"
"92","removal_max_knn_none","removal_min_knn_none",0.424426810287475,"Nie ma podstaw do odrzucenia H"
"93","removal_max_knn_none","removal_min_median-frequency_MI",0.015401323124264,"Odrzucamy H"
"94","removal_max_knn_none","removal_min_median-frequency_none",0.0545149778772142,"Nie ma podstaw do odrzucenia H"
"95","removal_max_knn_none","removal_min_median-other_BORUTA",0.903021397208311,"Nie ma podstaw do odrzucenia H"
"96","removal_max_knn_none","removal_min_median-other_MCFS",0.578808467548544,"Nie ma podstaw do odrzucenia H"
"97","removal_max_knn_none","removal_min_median-other_MI",0.0302925759935427,"Odrzucamy H"
"98","removal_max_knn_none","removal_min_median-other_none",0.0154109739409707,"Odrzucamy H"
"99","removal_max_knn_none","removal_min_median-other_VI",0.0856343249724232,"Nie ma podstaw do odrzucenia H"
"100","removal_max_knn_none","removal_min_mice_BORUTA",0.078227150678339,"Nie ma podstaw do odrzucenia H"
"101","removal_max_knn_none","removal_min_mice_MI",0.143795405329302,"Nie ma podstaw do odrzucenia H"
"102","removal_max_knn_none","removal_min_mice_none",0.0906194278877435,"Nie ma podstaw do odrzucenia H"
"103","removal_max_median-frequency_BORUTA","removal_max_knn_BORUTA",0.386150442923581,"Nie ma podstaw do odrzucenia H"
"104","removal_max_median-frequency_BORUTA","removal_max_knn_MI",0.113229603727706,"Nie ma podstaw do odrzucenia H"
"105","removal_max_median-frequency_BORUTA","removal_max_knn_none",0.0042856803669609,"Odrzucamy H"
"106","removal_max_median-frequency_BORUTA","removal_max_median-frequency_MI",0.97839850078326,"Nie ma podstaw do odrzucenia H"
"107","removal_max_median-frequency_BORUTA","removal_max_median-frequency_none",0.273014997257823,"Nie ma podstaw do odrzucenia H"
"108","removal_max_median-frequency_BORUTA","removal_max_median-other_BORUTA",0.143663628528809,"Nie ma podstaw do odrzucenia H"
"109","removal_max_median-frequency_BORUTA","removal_max_median-other_MCFS",0.273014997257823,"Nie ma podstaw do odrzucenia H"
"110","removal_max_median-frequency_BORUTA","removal_max_median-other_MI",0.440578331705297,"Nie ma podstaw do odrzucenia H"
"111","removal_max_median-frequency_BORUTA","removal_max_median-other_none",0.0206630344501212,"Odrzucamy H"
"112","removal_max_median-frequency_BORUTA","removal_max_median-other_VI",0.0238438192899315,"Odrzucamy H"
"113","removal_max_median-frequency_BORUTA","removal_max_mice_none",0.635706749027978,"Nie ma podstaw do odrzucenia H"
"114","removal_max_median-frequency_BORUTA","removal_med_knn_BORUTA",0.140159083662631,"Nie ma podstaw do odrzucenia H"
"115","removal_max_median-frequency_BORUTA","removal_med_knn_MI",0.448553263977658,"Nie ma podstaw do odrzucenia H"
"116","removal_max_median-frequency_BORUTA","removal_med_knn_none",0.239125301766158,"Nie ma podstaw do odrzucenia H"
"117","removal_max_median-frequency_BORUTA","removal_med_median-frequency_BORUTA",0.222964197096344,"Nie ma podstaw do odrzucenia H"
"118","removal_max_median-frequency_BORUTA","removal_med_median-frequency_MI",0.088217654881583,"Nie ma podstaw do odrzucenia H"
"119","removal_max_median-frequency_BORUTA","removal_med_median-frequency_none",0.448553263977658,"Nie ma podstaw do odrzucenia H"
"120","removal_max_median-frequency_BORUTA","removal_med_median-other_MCFS",0.14387068957001,"Nie ma podstaw do odrzucenia H"
"121","removal_max_median-frequency_BORUTA","removal_med_median-other_none",0.3164205924527,"Nie ma podstaw do odrzucenia H"
"122","removal_max_median-frequency_BORUTA","removal_med_median-other_VI",0.13304644736603,"Nie ma podstaw do odrzucenia H"
"123","removal_max_median-frequency_BORUTA","removal_med_mice_none",0.129497728161651,"Nie ma podstaw do odrzucenia H"
